31
3
1974258	233223222	916727195	10000	21.06.2017	00:04:25
1974256	379394323222	942780518	1500	21.06.2017	00:04:42
1974255	4902323345	901241212	50000	21.06.2017	00:06:36
1974254	1493334546	911169884	10000	21.06.2017	00:07:58
1974253	4902323345	901241212	55000	21.06.2017	00:08:22
1974252	1943034543	943002780	1000	21.06.2017	00:09:25
1974248	4902323345	901241212	6000	21.06.2017	00:09:29
1974247	14933345345	981251463	3000	21.06.2017	00:12:00
1974246	4902323345	901241212	120000	21.06.2017	00:13:14
1974245	89034534534	905207010	5000	21.06.2017	00:13:15
1974244	4902323345	901241212	5000	21.06.2017	00:13:29
1974243	149334534534	903926959	5000	21.06.2017	00:13:45
1974242	4902323345	901241212	1000	21.06.2017	00:14:04
1974241	1345345345	901241212	80000	21.06.2017	00:14:33
1974240	4902323345	972503276	5000	21.06.2017	00:14:41
1974239	43345345345	901241212	2000	21.06.2017	00:15:17
1974237	4902323345	915686362	30000	21.06.2017	00:15:21
1974235	37345345345	901241212	2000	21.06.2017	00:16:24
1974234	4902323345	939449850	8000	21.06.2017	00:17:16
1974233	697345345345	901241212	5000	21.06.2017	00:17:21
1974230	4902323345	915964513	6000	21.06.2017	00:17:38
1974229	797456456456	912218088	30000	21.06.2017	00:18:33
1974228	149345645645	904266367	1500	21.06.2017	00:20:55
1974227	14456456456	934266893	31000	21.06.2017	00:21:37
1974226	14456456456	904424430	5000	21.06.2017	00:21:56
1974225	144564564564	943845255	1000	21.06.2017	00:24:45
1974224	149456456456	915677742	12000	21.06.2017	00:26:00
1974253	84564564564	945141212	5000	21.06.2017	00:38:25
1974223	84564564564	945141210	5000	21.06.2017	00:28:25
1974222	745645645645	902263896	30000	21.06.2017	00:28:32
1974243	84564564564	945141210	5000	21.06.2017	00:38:25
4902323345
84564564564
44444444444
